Id,Source,Label
一秤金,一秤金,"猪八戒
"
七政,七政,"猪八戒
"
七衣仙女,七衣仙女,"东方崇恩圣帝
"
万圣公主,万圣公主,"猪八戒
"
万圣龙王,万圣龙王,"猪八戒
"
万岁狐王,万岁狐王,"猪八戒
"
三千揭谛,三千揭谛,"猪八戒
"
三官,三官,"猪八戒
"
三星,三星,"猪八戒
"
三清,三清,"猪八戒
"
上清灵宝天尊,上清灵宝天尊,"猪八戒
"
不坏尊王,不坏尊王,"猪八戒
"
与世同君,与世同君,"猪八戒
"
世静光佛,世静光佛,"世静光佛
"
丘弘济,丘弘济,"猪八戒
"
东华帝君,东华帝君,"猪八戒
"
东方崇恩圣帝,东方崇恩圣帝,"东方崇恩圣帝
"
东方朔,东方朔,"猪八戒
"
东海龙王,东海龙王,"猪八戒
"
东西星斗,东西星斗,"猪八戒
"
中央黄极,中央黄极,"东方崇恩圣帝
"
丹桂,丹桂,"凌空子
"
乌巢禅师,乌巢禅师,"猪八戒
"
九头狮子,九头狮子,"猪八戒
"
九头虫,九头虫,"猪八戒
"
九头驸马,九头驸马,"猪八戒
"
九尾狐狸,九尾狐狸,"猪八戒
"
九曜星,九曜星,"猪八戒
"
九灵元圣,九灵元圣,"猪八戒
"
二十八宿,二十八宿,"猪八戒
"
云程万里鹏,云程万里鹏,"猪八戒
"
云童,云童,"猪八戒
"
云里雾,云里雾,"兴烘掀
"
五岳,五岳,"猪八戒
"
五斗星君,五斗星君,"东方崇恩圣帝
"
五方五老,五方五老,"东方崇恩圣帝
"
五方揭谛,五方揭谛,"猪八戒
"
五瘟,五瘟,"猪八戒
"
五百阿罗,五百阿罗,"猪八戒
"
井木犴,井木犴,"太阴
"
井龙王,井龙王,"猪八戒
"
亢金龙,亢金龙,"太阴
"
仙翁,仙翁,"猪八戒
"
仵官王,仵官王,"阎罗王
"
伏狸,伏狸,"伏狸
"
伶俐虫,伶俐虫,"猪八戒
"
修桃力士,修桃力士,"修桃力士
"
倚海龙,倚海龙,"猪八戒
"
假八戒,假八戒,"猪八戒
"
假唐僧,假唐僧,"猪八戒
"
假悟空,假悟空,"猪八戒
"
假沙僧,假沙僧,"猪八戒
"
傅奕,傅奕,"房玄龄
"
